Core Based Statistical Area,Pollutant,Trend Statistic,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021,2022,State,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
"El Paso, TX",NO2,Annual Mean,19.0,19.0,19.0,18.0,16.0,15.0,17.0,17.0,16.0,15.0,15.0,15.0,14.0,13.0,12.0,12.0,12.0,12.0,13.0,11.0,13.0,13.0,12.0,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"El Paso, TX",O3,4th Max,0.078,0.075,0.082,0.071,0.074,0.077,0.077,0.074,0.074,0.068,0.068,0.069,0.066,0.066,0.066,0.068,0.066,0.069,0.075,0.07,0.072,0.067,0.07,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"El Paso, TX",PM10,2nd Max,97.0,98.0,129.0,244.0,132.0,84.0,99.0,88.0,73.0,67.0,63.0,159.0,148.0,137.0,77.0,63.0,62.0,104.0,114.0,75.0,96.0,116.0,88.0,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"El Paso, TX",PM2.5,Weighted Annual Mean,9.4,9.4,10.7,10.3,10.0,9.7,8.9,8.8,9.1,8.1,8.2,12.5,7.4,8.6,8.2,6.6,7.1,7.9,8.1,6.3,8.0,8.0,8.0,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"El Paso, TX",PM2.5,98th Percentile,22.0,27.0,32.0,30.0,28.0,27.0,21.0,21.0,20.0,15.0,25.0,37.0,14.0,20.0,17.0,16.0,14.0,19.0,19.0,25.0,15.0,15.0,15.0,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"Elizabethtown-Fort Knox, KY",O3,4th Max,0.085,0.08,0.084,0.073,0.068,0.079,0.074,0.083,0.074,0.066,0.071,0.069,0.079,0.062,0.062,0.066,0.068,0.06,0.067,0.058,0.06,0.062,0.063,KY,977.4,979.8,995.1,977.4,932.1,961.6,950.5,941.8,963.4,958.5,967.5,975.6,996.8,995.6,1015.9,1052.3,1077.9,1082.4,1090.0,1096.5,1248.1
"Elizabethtown-Fort Knox, KY",PM2.5,Weighted Annual Mean,16.4,14.9,14.0,13.4,12.2,14.5,13.2,14.4,12.2,10.9,11.8,9.5,9.8,10.2,10.2,9.2,8.2,8.2,8.0,7.4,7.4,8.4,8.0,KY,977.4,979.8,995.1,977.4,932.1,961.6,950.5,941.8,963.4,958.5,967.5,975.6,996.8,995.6,1015.9,1052.3,1077.9,1082.4,1090.0,1096.5,1248.1
"Elizabethtown-Fort Knox, KY",PM2.5,98th Percentile,39.0,31.0,32.0,32.0,28.0,35.0,32.0,38.0,25.0,22.0,21.0,25.0,25.0,25.0,23.0,21.0,17.0,15.0,17.0,16.0,16.0,24.0,17.0,KY,977.4,979.8,995.1,977.4,932.1,961.6,950.5,941.8,963.4,958.5,967.5,975.6,996.8,995.6,1015.9,1052.3,1077.9,1082.4,1090.0,1096.5,1248.1
"Elkhart-Goshen, IN",O3,4th Max,0.099,0.099,0.099,0.087,0.077,0.086,0.067,0.082,0.068,0.061,0.065,0.072,0.075,0.055,0.055,0.058,0.072,0.064,0.07,0.058,0.062,0.063,0.06,IN,912.2,900.8,899.9,903.2,869.7,886.7,878.3,846.4,883.3,866.5,875.2,893.1,907.6,924.0,923.8,947.4,956.9,983.9,981.7,980.4,1157.6
"Erie, PA",NO2,Annual Mean,12.0,12.0,12.0,12.0,12.0,13.0,11.0,11.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Erie, PA",O3,4th Max,0.078,0.089,0.098,0.091,0.074,0.086,0.077,0.084,0.074,0.069,0.075,0.072,0.082,0.068,0.065,0.066,0.067,0.063,0.062,0.063,0.061,0.057,0.059,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Erie, PA",PM10,2nd Max,41.0,61.0,60.0,54.0,48.0,53.0,46.0,56.0,65.0,36.0,47.0,41.0,32.0,31.0,24.0,32.0,29.0,23.0,32.0,32.0,37.0,41.0,32.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Erie, PA",PM2.5,Weighted Annual Mean,14.0,13.8,13.2,12.6,11.9,14.4,11.3,12.1,10.7,9.6,11.1,11.4,11.2,12.2,10.8,9.3,7.7,7.9,8.7,7.5,6.5,7.9,7.1,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Erie, PA",PM2.5,98th Percentile,28.0,38.0,43.0,30.0,33.0,41.0,30.0,35.0,29.0,28.0,30.0,27.0,25.0,26.0,24.0,22.0,17.0,18.0,21.0,18.0,16.0,19.0,17.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Eugene, OR",O3,4th Max,0.056,0.064,0.066,0.075,0.066,0.068,0.073,0.06,0.059,0.065,0.058,0.059,0.061,0.055,0.058,0.07,0.057,0.072,0.06,0.055,0.054,0.061,0.058,OR,863.7,869.6,885.7,871.4,849.2,860.5,854.8,843.6,848.2,830.6,832.4,846.8,840.1,863.6,860.2,886.2,874.0,884.0,863.5,886.0,948.2
"Eugene, OR",PM10,2nd Max,69.0,75.0,79.0,60.0,50.0,73.0,47.0,59.0,45.0,45.0,38.0,46.0,41.0,40.0,44.0,31.0,25.0,173.0,60.0,49.0,423.0,128.0,350.0,OR,863.7,869.6,885.7,871.4,849.2,860.5,854.8,843.6,848.2,830.6,832.4,846.8,840.1,863.6,860.2,886.2,874.0,884.0,863.5,886.0,948.2
"Eugene, OR",PM2.5,Weighted Annual Mean,11.3,11.6,11.9,10.6,10.3,11.0,9.7,8.9,9.6,9.8,7.3,8.4,7.0,8.8,8.6,8.1,6.0,11.1,8.3,8.2,14.5,7.7,15.7,OR,863.7,869.6,885.7,871.4,849.2,860.5,854.8,843.6,848.2,830.6,832.4,846.8,840.1,863.6,860.2,886.2,874.0,884.0,863.5,886.0,948.2
"Eugene, OR",PM2.5,98th Percentile,46.0,47.0,51.0,42.0,37.0,47.0,35.0,40.0,34.0,39.0,25.0,32.0,32.0,40.0,36.0,28.0,21.0,64.0,33.0,31.0,206.0,42.0,141.0,OR,863.7,869.6,885.7,871.4,849.2,860.5,854.8,843.6,848.2,830.6,832.4,846.8,840.1,863.6,860.2,886.2,874.0,884.0,863.5,886.0,948.2
"Fairmont, WV",PM2.5,Weighted Annual Mean,16.0,15.9,15.3,15.0,14.1,15.9,14.6,15.3,13.7,11.7,13.3,11.2,10.3,9.3,9.5,9.5,8.6,7.7,7.4,7.6,7.4,7.3,7.1,WV,1167.6,1163.9,1164.1,1175.6,1144.7,1141.4,1130.9,1149.7,1171.4,1157.4,1148.1,1178.6,1181.1,1178.0,1199.0,1233.8,1241.4,1281.8,1300.1,1305.9,1462.7
"Fairmont, WV",PM2.5,98th Percentile,36.0,44.0,40.0,34.0,34.0,34.0,34.0,34.0,28.0,23.0,27.0,28.0,20.0,18.0,18.0,19.0,17.0,15.0,15.0,16.0,16.0,15.0,15.0,WV,1167.6,1163.9,1164.1,1175.6,1144.7,1141.4,1130.9,1149.7,1171.4,1157.4,1148.1,1178.6,1181.1,1178.0,1199.0,1233.8,1241.4,1281.8,1300.1,1305.9,1462.7
"Farmington, NM",NO2,Annual Mean,10.0,10.0,11.0,11.0,10.0,10.0,13.0,13.0,11.0,10.0,11.0,11.0,9.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Farmington, NM",NO2,98th Percentile,44.0,42.0,41.0,55.0,40.0,39.0,59.0,44.0,35.0,35.0,40.0,36.0,37.0,38.0,32.0,32.0,34.0,30.0,25.0,24.0,24.0,22.0,21.0,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Farmington, NM",O3,4th Max,0.08,0.074,0.076,0.074,0.069,0.074,0.067,0.071,0.066,0.056,0.064,0.067,0.071,0.067,0.063,0.061,0.064,0.07,0.074,0.063,0.066,0.068,0.064,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Fayetteville, NC",O3,4th Max,0.085,0.083,0.095,0.084,0.075,0.088,0.073,0.081,0.075,0.067,0.072,0.075,0.069,0.062,0.064,0.061,0.064,0.063,0.063,0.061,0.055,0.064,0.065,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Fayetteville, NC",PM2.5,Weighted Annual Mean,15.8,14.3,14.1,13.4,14.1,13.8,13.6,13.2,12.1,9.6,11.4,9.7,8.9,8.8,8.9,7.8,8.5,8.8,7.1,7.4,6.8,8.2,7.7,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Fayetteville, NC",PM2.5,98th Percentile,33.0,27.0,36.0,28.0,32.0,32.0,30.0,30.0,24.0,20.0,25.0,22.0,18.0,19.0,16.0,14.0,26.0,21.0,17.0,21.0,17.0,21.0,15.0,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Flagstaff, AZ",O3,4th Max,0.071,0.068,0.079,0.073,0.072,0.079,0.07,0.069,0.071,0.065,0.069,0.074,0.073,0.069,0.067,0.07,0.064,0.065,0.068,0.061,0.063,0.064,0.062,AZ,789.4,778.6,793.4,787.5,764.2,784.8,769.0,738.6,729.6,722.3,731.6,746.3,756.1,762.6,765.6,795.2,817.3,823.2,826.6,827.6,1020.7
"Flint, MI",O3,4th Max,0.073,0.091,0.089,0.089,0.076,0.08,0.074,0.083,0.069,0.068,0.068,0.073,0.084,0.066,0.068,0.067,0.073,0.064,0.069,0.06,0.068,0.068,0.067,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Flint, MI",PM2.5,Weighted Annual Mean,12.9,13.1,12.5,12.0,10.5,12.9,10.9,11.1,9.8,8.7,8.9,8.5,8.0,7.4,8.9,8.2,7.2,7.1,7.4,7.2,6.0,7.3,8.2,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Flint, MI",PM2.5,98th Percentile,32.0,38.0,31.0,32.0,28.0,36.0,27.0,25.0,26.0,26.0,25.0,21.0,21.0,17.0,24.0,22.0,19.0,17.0,22.0,19.0,15.0,17.0,20.0,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Florence, SC",O3,4th Max,0.087,0.081,0.09,0.075,0.076,0.079,0.076,0.073,0.076,0.065,0.071,0.07,0.07,0.059,0.063,0.061,0.063,0.06,0.058,0.055,0.052,0.059,0.061,SC,920.9,900.7,918.6,918.3,885.2,906.5,889.5,887.4,889.6,881.3,899.7,899.1,914.5,933.7,940.6,964.0,970.1,984.0,996.0,989.8,1173.3
"Fond du Lac, WI",O3,4th Max,0.069,0.084,0.08,0.077,0.068,0.082,0.066,0.074,0.062,0.066,0.062,0.074,0.079,0.063,0.067,0.065,0.066,0.062,0.066,0.057,0.065,0.065,0.064,WI,866.2,862.4,862.8,842.8,827.0,842.2,827.5,824.1,829.9,806.0,831.9,847.5,844.9,871.1,873.5,888.3,896.7,909.0,923.4,930.7,1075.1
"Fort Collins, CO",CO,2nd Max,3.8,3.0,2.9,2.5,3.1,2.4,2.7,2.4,3.0,1.8,1.7,1.3,1.7,1.4,1.4,1.4,1.3,1.2,1.6,1.3,1.1,1.0,1.1,CO,634.4,639.3,650.5,651.5,618.8,639.6,625.4,624.4,639.6,626.9,625.6,636.4,638.7,639.9,657.9,666.2,677.4,678.8,676.4,684.0,807.9
"Fort Collins, CO",O3,4th Max,0.074,0.069,0.079,0.08,0.069,0.075,0.076,0.074,0.071,0.066,0.072,0.073,0.077,0.074,0.071,0.07,0.07,0.067,0.073,0.065,0.07,0.077,0.07,CO,634.4,639.3,650.5,651.5,618.8,639.6,625.4,624.4,639.6,626.9,625.6,636.4,638.7,639.9,657.9,666.2,677.4,678.8,676.4,684.0,807.9
"Fort Collins, CO",PM2.5,Weighted Annual Mean,8.3,8.6,7.7,7.3,7.7,7.0,7.3,8.0,6.7,6.8,6.5,5.7,7.3,6.8,6.5,7.1,6.8,7.4,7.7,6.0,8.1,8.5,6.5,CO,634.4,639.3,650.5,651.5,618.8,639.6,625.4,624.4,639.6,626.9,625.6,636.4,638.7,639.9,657.9,666.2,677.4,678.8,676.4,684.0,807.9
"Fort Collins, CO",PM2.5,98th Percentile,20.0,25.0,18.0,16.0,20.0,16.0,20.0,20.0,18.0,17.0,22.0,15.0,26.0,18.0,20.0,27.0,18.0,18.0,20.0,20.0,47.0,29.0,17.0,CO,634.4,639.3,650.5,651.5,618.8,639.6,625.4,624.4,639.6,626.9,625.6,636.4,638.7,639.9,657.9,666.2,677.4,678.8,676.4,684.0,807.9
"Fort Payne, AL",O3,4th Max,0.034,0.032,0.029,0.03,0.027,0.03,0.038,0.02,0.036,0.022,0.027,0.065,0.073,0.062,0.062,0.065,0.064,0.058,0.064,0.062,0.057,0.058,0.061,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Fort Payne, AL",PM2.5,Weighted Annual Mean,17.2,14.7,14.4,15.0,14.1,14.2,13.7,13.9,11.5,9.7,11.6,11.2,9.2,9.0,9.6,9.0,7.7,8.0,7.0,7.5,7.1,7.7,6.9,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Fort Payne, AL",PM2.5,98th Percentile,51.0,31.0,32.0,31.0,33.0,33.0,32.0,30.0,26.0,21.0,22.0,23.0,17.0,19.0,19.0,19.0,13.0,17.0,16.0,15.0,17.0,18.0,14.0,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Fort Wayne, IN",O3,4th Max,0.086,0.078,0.095,0.087,0.071,0.081,0.072,0.079,0.068,0.065,0.067,0.071,0.076,0.062,0.063,0.061,0.068,0.063,0.071,0.063,0.064,0.062,0.064,IN,912.2,900.8,899.9,903.2,869.7,886.7,878.3,846.4,883.3,866.5,875.2,893.1,907.6,924.0,923.8,947.4,956.9,983.9,981.7,980.4,1157.6
"Fort Wayne, IN",PM2.5,Weighted Annual Mean,15.7,14.3,14.6,14.1,12.5,15.6,11.9,13.2,11.8,11.3,14.5,11.5,12.8,9.9,12.3,10.4,8.6,8.1,9.1,9.0,8.3,8.3,8.3,IN,912.2,900.8,899.9,903.2,869.7,886.7,878.3,846.4,883.3,866.5,875.2,893.1,907.6,924.0,923.8,947.4,956.9,983.9,981.7,980.4,1157.6
"Fort Wayne, IN",PM2.5,98th Percentile,35.0,32.0,32.0,35.0,31.0,38.0,26.0,34.0,31.0,29.0,40.0,29.0,29.0,27.0,43.0,28.0,20.0,20.0,22.0,22.0,18.0,18.0,18.0,IN,912.2,900.8,899.9,903.2,869.7,886.7,878.3,846.4,883.3,866.5,875.2,893.1,907.6,924.0,923.8,947.4,956.9,983.9,981.7,980.4,1157.6
"Fresno, CA",CO,2nd Max,3.3,2.8,2.5,1.8,1.7,1.8,2.1,1.7,1.4,1.4,1.4,1.4,1.3,1.4,1.1,1.0,1.3,1.2,1.3,1.0,2.2,1.1,1.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Fresno, CA",NO2,Annual Mean,16.0,16.0,16.0,16.0,14.0,13.0,14.0,13.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Fresno, CA",O3,4th Max,0.106,0.107,0.111,0.104,0.089,0.094,0.095,0.089,0.102,0.094,0.096,0.094,0.093,0.088,0.09,0.089,0.09,0.09,0.083,0.077,0.086,0.087,0.077,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Fresno, CA",PM10,2nd Max,111.5,120.5,86.5,81.5,66.0,89.0,98.5,83.5,82.0,66.5,61.5,73.0,69.5,85.0,82.0,80.0,75.0,95.0,110.0,97.0,141.5,134.0,134.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Fresno, CA",PM2.5,Weighted Annual Mean,17.4,18.3,18.7,17.0,16.7,16.6,17.0,16.6,16.4,16.4,14.0,16.7,14.0,15.9,14.3,14.5,12.8,14.1,15.7,10.7,18.5,14.5,12.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Fresno, CA",PM2.5,98th Percentile,69.0,74.0,63.0,53.0,54.0,71.0,63.0,60.0,48.0,51.0,42.0,68.0,50.0,64.0,63.0,44.0,39.0,62.0,61.0,33.0,90.0,49.0,38.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Gadsden, AL",O3,4th Max,0.083,0.083,0.083,0.076,0.068,0.071,0.074,0.075,0.064,0.061,0.065,0.062,0.061,0.06,0.059,0.06,0.064,0.061,0.064,0.063,0.053,0.058,0.062,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Gadsden, AL",PM2.5,Weighted Annual Mean,19.5,17.2,14.8,14.3,14.3,15.4,14.4,15.8,12.4,10.2,13.2,11.4,9.6,9.2,9.3,9.1,8.2,8.9,7.8,8.3,7.9,8.4,8.2,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Gadsden, AL",PM2.5,98th Percentile,51.0,42.0,34.0,29.0,35.0,39.0,33.0,38.0,28.0,21.0,33.0,25.0,17.0,19.0,19.0,18.0,14.0,18.0,15.0,16.0,23.0,20.0,18.0,AL,1013.3,1014.3,1028.3,1037.3,1018.0,1030.5,1014.8,999.3,1011.1,997.7,1005.0,1013.6,1022.4,1038.3,1035.5,1068.3,1078.8,1092.1,1112.0,1103.5,1316.2
"Gainesville, FL",O3,4th Max,0.08,0.079,0.071,0.071,0.075,0.073,0.075,0.078,0.069,0.056,0.069,0.064,0.064,0.062,0.06,0.056,0.06,0.063,0.062,0.06,0.06,0.058,0.058,FL,1028.6,1022.6,1005.5,991.9,970.5,957.2,936.1,915.2,921.4,911.0,924.4,912.9,917.8,926.3,934.8,945.9,957.3,970.4,964.5,963.8,1102.8
"Gainesville, GA",PM2.5,Weighted Annual Mean,18.1,15.5,14.6,14.7,14.0,14.5,13.8,13.8,11.8,10.2,11.4,10.7,9.3,8.5,8.9,7.9,8.5,7.6,7.6,9.3,8.7,9.1,8.8,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Gainesville, GA",PM2.5,98th Percentile,39.0,33.0,29.0,33.0,28.0,34.0,29.0,29.0,32.0,20.0,23.0,25.0,17.0,17.0,18.0,18.0,23.0,17.0,16.0,19.0,19.0,21.0,18.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Gettysburg, PA",CO,2nd Max,1.2,1.2,0.6,0.5,1.6,0.3,1.2,0.6,0.5,0.3,0.5,0.4,0.6,0.7,1.3,0.5,0.4,0.6,0.4,0.4,0.3,0.4,0.3,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Gettysburg, PA",NO2,Annual Mean,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Gettysburg, PA",O3,4th Max,0.031,0.019,0.03,0.022,0.028,0.02,0.015,0.022,0.026,0.027,0.034,0.072,0.073,0.067,0.063,0.067,0.071,0.062,0.065,0.06,0.06,0.065,0.061,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Gettysburg, PA",PM2.5,Weighted Annual Mean,13.0,14.1,12.9,13.6,13.7,13.6,11.8,12.3,11.4,11.0,11.7,12.2,11.0,10.4,8.5,9.9,7.4,7.6,7.7,9.4,7.9,9.6,8.4,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Gettysburg, PA",PM2.5,98th Percentile,37.0,36.0,40.0,37.0,36.0,36.0,34.0,31.0,31.0,27.0,31.0,30.0,28.0,25.0,21.0,24.0,19.0,18.0,20.0,21.0,17.0,24.0,20.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Gillette, WY",NO2,Annual Mean,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,WY,793.9,814.5,834.8,828.7,776.9,797.2,824.8,797.6,774.1,765.0,787.4,772.1,777.4,775.1,798.8,815.2,806.5,823.0,877.6,884.8,1027.4
"Gillette, WY",O3,4th Max,0.069,0.069,0.071,0.074,0.065,0.063,0.072,0.072,0.066,0.062,0.063,0.061,0.071,0.061,0.058,0.059,0.057,0.064,0.064,0.055,0.062,0.075,0.061,WY,793.9,814.5,834.8,828.7,776.9,797.2,824.8,797.6,774.1,765.0,787.4,772.1,777.4,775.1,798.8,815.2,806.5,823.0,877.6,884.8,1027.4
"Gillette, WY",PM10,2nd Max,85.1,92.4,85.4,86.4,107.0,68.6,79.9,84.0,72.6,61.8,67.5,77.9,86.3,62.6,52.5,73.1,55.0,92.1,57.0,50.4,57.0,74.8,96.1,WY,793.9,814.5,834.8,828.7,776.9,797.2,824.8,797.6,774.1,765.0,787.4,772.1,777.4,775.1,798.8,815.2,806.5,823.0,877.6,884.8,1027.4
"Grand Junction, CO",PM10,2nd Max,62.0,62.0,62.0,110.0,60.0,70.0,77.0,68.0,103.0,61.0,64.0,39.0,49.0,51.0,45.0,34.0,35.0,44.0,34.0,33.0,71.0,44.0,67.0,CO,634.4,639.3,650.5,651.5,618.8,639.6,625.4,624.4,639.6,626.9,625.6,636.4,638.7,639.9,657.9,666.2,677.4,678.8,676.4,684.0,807.9
"Grand Rapids-Wyoming, MI",CO,2nd Max,2.6,3.1,2.8,2.0,1.8,1.9,2.0,1.1,1.1,1.6,1.3,1.4,1.4,1.0,0.9,1.2,0.9,1.0,0.9,1.3,1.1,1.1,1.2,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Grand Rapids-Wyoming, MI",O3,4th Max,0.073,0.085,0.089,0.089,0.07,0.084,0.082,0.086,0.067,0.069,0.069,0.077,0.081,0.069,0.068,0.066,0.074,0.065,0.07,0.063,0.074,0.067,0.068,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Grand Rapids-Wyoming, MI",PM10,2nd Max,37.0,41.0,41.0,31.0,30.0,58.0,34.0,42.0,25.0,21.0,27.0,35.0,29.0,26.0,27.0,29.0,56.0,29.0,30.0,49.0,27.0,40.0,49.0,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
